date,weekly_exports_mt,weekly_percent_change,moving_average_4w,std_4w
2025-09-04,687326,,,
2025-09-11,1555901,1.2637016495811304,,
2025-09-18,1315867,-0.1542733117338443,,
2025-09-25,1429180,0.08611280623345663,1247068.5,385826.82272275124
2025-10-02,1830620,0.28088834156649267,1532892.0,221380.0695892323
2025-10-09,1122480,-0.3868306912412188,1424536.75,298871.52227824694
2025-10-16,1410130,0.2562629178248166,1448102.5,291061.06007445697
2025-10-23,1332502,-0.05505024359456223,1423933.0,297107.3755103812
2025-10-30,1540714,0.1562564258815371,1351456.5,175167.0550560236
2025-11-06,1528644,-0.007834030196389508,1452997.5,99621.55959931562
2025-11-13,2476796,0.6202569074290678,1719664.0,513697.3890557228
2025-11-20,1531636,-0.3816059134462426,1769447.5,471593.59255577956
2025-11-27,1897585,0.2389268729645948,1858665.25,447013.2462029695
